rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.136474,73.0278
0,1,0,0,0,65.7618
0,2,0,0,0,61.6459
0,3,0,0,0,58.7174
0,4,0,0,0,56.4193
0,5,0,0,0,54.5378
0,6,0,0,0,52.9622
0,7,0,0,0,51.6225
0,8,0,0,0,50.4702
0,9,0,0,0,49.4696
0,10,0,0,0,48.5939
0,11,0,0,0,47.8222
0,12,0,0,0,47.1382
0,13,0,0,0,46.5288
0,14,0,0,0,45.9835
0,15,0,0,0,45.4936
0,16,0,0,0,45.052
0,17,0,0,0,44.6526
0,18,0,0,0,44.2904
0,19,0,0,0,43.9612
0,20,0,0,0,43.6612
0,21,0,0,0,43.3873
0,22,0,0,0,43.1367
0,23,0,0,0,42.9072
0,24,0,0,0,42.6966
0,25,0,0,0,42.5031
0,26,0,0,0,42.325
0,27,0,0,0,42.161
0,28,0,0,0,42.0097
0,29,0,0,0,41.8701
0,30,0,0,0,41.7411
0,31,0,0,0,41.6218
0,32,0,0,0,41.5115
0,33,0,0,0,41.4093
0,34,0,0,0,41.3145
0,35,0,0,0,41.2267
0,36,0,0,0,41.1452
0,37,0,0,0,41.0696
0,38,0,0,0,40.9994
0,39,0,0,0,40.9341
0,40,0,0,0,40.8735
0,41,0,0,0,40.8171
0,42,0,0,0,40.7647
0,43,0,0,0,40.7159
0,44,0,0,0,40.6706
0,45,0,0,0,40.6283
0,46,0,0,0,40.5891
0,47,0,0,0,40.5525
0,48,0,0,0,40.5184
0,49,0,0,0,40.4868
0,50,0,0,0,40.4573
0,51,0,0,0,40.4298
0,52,0,0,0,40.4043
0,53,0,0,0,40.3806
0,54,0,0,0,40.3585
0,55,0,0,0,40.338
0,56,0,0,0,40.3189
0,57,0,0,0,40.3013
0,58,0,0,0,40.2849
0,59,0,0,0,40.2697
0,60,0,0,0,40.2556
0,61,0,0,0,40.2426
0,62,0,0,0,40.2305
0,63,0,0,0,40.2194
0,64,0,0,2.68076e-05,40.2093
0,65,0,0,0,40.1965
0,66,0,0,0,40.1846
0,67,0,0,0,40.1734
0,68,0,0,0,40.163
0,69,0,0,0,40.1531
0,70,0,0,0,40.1438
0,71,0,0,0,40.1352
0,72,0,0,0,40.127
0,73,0,0,0,40.1193
0,74,0,0,0,40.1122
0,75,0,0,0,40.1054
0,76,0,0,0,40.0991
0,77,0,0,0,40.0932
0,78,0,0,0,40.0876
0,79,0,0,0,40.0823
0,80,0,0,0,40.0774
0,81,0,0,0,40.0728
0,82,0,0,0,40.0685
0,83,0,0,0,40.0644
0,84,0,0,0,40.0606
0,85,0,0,0,40.057
0,86,0,0,0,40.0537
0,87,0,0,0,40.0505
0,88,0,0,0,40.0476
0,89,0,0,0,40.0448
0,90,0,0,0,40.0422
0,91,0,0,0,40.0397
0,92,0,0,0,40.0374
0,93,0,0,0,40.0353
0,94,0,0,0,40.0332
0,95,0,0,0,40.0313
0,96,0,0,0,40.0295
0,97,0,0,0,40.0279
0,98,0,0,0,40.0263
0,99,0,0,0,40.0248
0,100,0,0,0,40.0234
0,101,0,0,0,40.0222
0,102,0,0,0,40.0209
0,103,0,0,0,40.0198
0,104,0,0,0,40.0188
0,105,0,0,0,40.0178
0,106,0,0,0,40.0168
0,107,0,0,0,40.016
0,108,0,0,0,40.0152
0,109,0,0,0,40.0144
0,110,0,0,0,40.0137
0,111,0,0,0,40.0131
0,112,0,0,0,40.0125
0,113,0,0,0,40.012
0,114,0,0,0,40.0115
0,115,0,0,0,40.011
0,116,0,0,0,40.0106
0,117,0,0,0,40.0102
0,118,0,0,0,40.0098
0,119,0,0,0,40.0095
0,120,0,0,0,40.0092
0,121,0,0,0,40.009
0,122,0,0,0,40.0088
0,123,0,0,0,40.0086
0,124,0,0,0,40.0085
0,125,0,0,0,40.0083
