rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0774033,59.3065
0,1,0,0,2.778e-05,55.186
0,2,0,0,2.1435e-05,52.851
0,3,0,0,5.316e-05,51.1898
0,4,0,0,5.316e-05,49.8849
0,5,0,0,2.538e-05,48.8141
0,6,0,0,4.35e-05,47.9178
0,7,0,0,4.47e-05,47.1554
0,8,0,0,2.778e-05,46.4992
0,9,0,0,8.94e-05,45.9316
0,10,0,0,5.316e-05,45.4308
0,11,0,0,2.538e-05,44.9892
0,12,0,0,4.23e-05,44.5996
0,13,0,0,1.692e-05,44.2517
0,14,0,0,5.316e-05,43.9421
0,15,0,0,3.624e-05,43.6629
0,16,0,0,7.368e-05,43.4117
0,17,0,0,4.23e-05,43.1821
0,18,0,0,6.624e-05,42.9752
0,19,0,0,7.47e-05,42.7852
0,20,0,0,8.46e-06,42.6092
0,21,0,0,2.538e-05,42.4521
0,22,0,0,6.282e-05,42.31
0,23,0,0,5.556e-05,42.1784
0,24,0,0,1.692e-05,42.0562
0,25,0,0,2.658e-05,41.9452
0,26,0,0,4.36425e-05,41.8441
0,27,0,0,4.47e-05,41.7497
0,28,0,0,3.7155e-05,41.662
0,29,0,0,4.47e-05,41.5817
0,30,0,0,9.66e-06,41.507
0,31,0,0,7.128e-05,41.4416
0,32,0,0,5.196e-05,41.3786
0,33,0,0,2.538e-05,41.3198
0,34,0,0,4.5915e-05,41.2664
0,35,0,0,3.081e-05,41.2158
0,36,0,0,3.504e-05,41.1697
0,37,0,0,1.6005e-05,41.1271
0,38,0,0,4.47e-05,41.0895
0,39,0,0,5.6565e-05,41.0538
0,40,0,0,5.42175e-05,41.0189
0,41,0,0,3.624e-05,40.9859
0,42,0,0,5.196e-05,40.9568
0,43,0,0,2.658e-05,40.9282
0,44,0,0,4.47e-05,40.9037
0,45,0,0,3.504e-05,40.88
0,46,0,0,2.658e-05,40.8578
0,47,0,0,6.465e-05,40.8384
0,48,0,0,3.846e-05,40.8167
0,49,0,0,8.46e-06,40.7962
0,50,0,0,2.5365e-05,40.7803
0,51,0,0,5.556e-05,40.7669
0,52,0,0,1.812e-05,40.753
0,53,0,0,4.47e-05,40.7422
0,54,0,0,4.893e-05,40.7322
0,55,0,0,4.107e-05,40.7229
0,56,0,0,0.000117195,40.7161
0,57,0,0,4.47e-05,40.7032
0,58,0,0,4.9845e-05,40.693
0,59,0,0,2.8695e-05,40.6837
0,60,0,0,5.196e-05,40.6768
0,61,0,0,5.196e-05,40.6703
0,62,0,0,6.08475e-05,40.6631
0,63,0,0,4.0185e-05,40.6557
0,64,0,0,1.812e-05,40.6494
0,65,0,0,5.436e-05,40.645
0,66,0,0,3.504e-05,40.6397
0,67,0,0,6.40125e-05,40.6355
0,68,0,0,5.436e-05,40.6313
0,69,0,0,7.008e-05,40.6282
0,70,0,0,7.854e-05,40.6246
