rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0655057,56.3153
0,1,0,0,2.0928e-05,52.827
0,2,0,0,1.6176e-05,50.8497
0,3,0,0,3.9936e-05,49.4425
0,4,0,0,3.9936e-05,48.3369
0,5,0,0,1.9008e-05,47.4297
0,6,0,0,3.264e-05,46.6701
0,7,0,0,3.36e-05,46.0239
0,8,0,0,2.0928e-05,45.4676
0,9,0,0,6.72e-05,44.986
0,10,0,0,3.9936e-05,44.5614
0,11,0,0,1.9008e-05,44.1869
0,12,0,0,3.168e-05,43.8565
0,13,0,0,1.2672e-05,43.5615
0,14,0,0,3.9936e-05,43.2985
0,15,0,0,2.7264e-05,43.0615
0,16,0,0,5.5488e-05,42.8482
0,17,0,0,3.168e-05,42.6534
0,18,0,0,4.7232e-05,42.4776
0,19,0,0,5.3568e-05,42.3164
0,20,0,0,6.336e-06,42.1676
0,21,0,0,1.9008e-05,42.0343
0,22,0,0,4.7232e-05,41.9136
0,23,0,0,4.1856e-05,41.8018
0,24,0,0,1.2672e-05,41.6982
0,25,0,0,1.9968e-05,41.604
0,26,0,0,3.2808e-05,41.5181
0,27,0,0,3.36e-05,41.4379
0,28,0,0,2.7888e-05,41.3635
0,29,0,0,3.36e-05,41.2953
0,30,0,0,7.296e-06,41.2319
0,31,0,0,5.3568e-05,41.176
0,32,0,0,3.8976e-05,41.1225
0,33,0,0,1.9008e-05,41.0724
0,34,0,0,3.4464e-05,41.0269
0,35,0,0,2.3136e-05,40.9838
0,36,0,0,2.6304e-05,40.9445
0,37,0,0,1.2048e-05,40.9081
0,38,0,0,3.36e-05,40.8757
0,39,0,0,4.0032e-05,40.8451
0,40,0,0,4.0728e-05,40.8154
0,41,0,0,2.7264e-05,40.7874
0,42,0,0,3.8976e-05,40.7625
0,43,0,0,1.9968e-05,40.7382
0,44,0,0,3.36e-05,40.7171
0,45,0,0,2.6304e-05,40.6969
0,46,0,0,1.9968e-05,40.6778
0,47,0,0,4.848e-05,40.661
0,48,0,0,2.6304e-05,40.6426
0,49,0,0,6.336e-06,40.6254
0,50,0,0,1.9104e-05,40.6117
0,51,0,0,4.1856e-05,40.6
0,52,0,0,1.3632e-05,40.588
0,53,0,0,3.36e-05,40.5784
0,54,0,0,3.6768e-05,40.5694
0,55,0,0,3.0912e-05,40.5609
0,56,0,0,8.8032e-05,40.5544
0,57,0,0,3.36e-05,40.5436
0,58,0,0,3.7392e-05,40.5349
0,59,0,0,2.1552e-05,40.527
0,60,0,0,3.8976e-05,40.5211
0,61,0,0,3.8976e-05,40.5155
0,62,0,0,4.5816e-05,40.5093
0,63,0,0,3.0096e-05,40.5031
0,64,0,0,1.3632e-05,40.4978
0,65,0,0,4.0896e-05,40.4939
0,66,0,0,2.6304e-05,40.4895
0,67,0,0,4.824e-05,40.4858
0,68,0,0,4.0896e-05,40.4822
0,69,0,0,5.2608e-05,40.4795
0,70,0,0,6.144e-05,40.4764
0,71,0,0,3.456e-05,40.4722
0,72,0,0,3.4848e-05,40.4696
0,73,0,0,4.6272e-05,40.467
0,74,0,0,1.3632e-05,40.463
0,75,0,0,3.156e-05,40.4612
0,76,0,0,5.2656e-05,40.4596
0,77,0,0,4.1472e-05,40.4562
0,78,0,0,2.7096e-05,40.4527
0,79,0,0,2.7264e-05,40.4499
0,80,0,0,3.816e-05,40.4476
0,81,0,0,5.448e-05,40.4452
0,82,0,0,1.9104e-05,40.4409
0,83,0,0,3.8976e-05,40.4387
0,84,0,0,3.264e-05,40.436
0,85,0,0,6.72e-05,40.4344
0,86,0,0,2.6304e-05,40.4306
0,87,0,0,2.448e-05,40.4284
0,88,0,0,2.6304e-05,40.4265
0,89,0,0,2.7264e-05,40.4239
0,90,0,0,3.96e-05,40.4219
0,91,0,0,3.8016e-05,40.419
0,92,0,0,1.5408e-05,40.4148
0,93,0,0,2.5344e-05,40.4114
0,94,0,0,2.7264e-05,40.4083
0,95,0,0,1.2672e-05,40.4053
0,96,0,0,1.7088e-05,40.4034
0,97,0,0,1.2672e-05,40.4026
0,98,0,0,1.3632e-05,40.4029
0,99,0,0,6.528e-05,40.4049
0,100,0,0,3.2688e-05,40.4039
0,101,0,0,3.9936e-05,40.4037
0,102,0,0,2.8848e-05,40.4031
0,103,0,0,4.1856e-05,40.4036
0,104,0,0,3.564e-05,40.4034
0,105,0,0,1.3632e-05,40.4033
0,106,0,0,5.5296e-05,40.4059
0,107,0,0,1.3632e-05,40.4059
0,108,0,0,4.7232e-05,40.4073
0,109,0,0,4.7184e-05,40.4074
0,110,0,0,2.7264e-05,40.4069
0,111,0,0,4.1856e-05,40.4066
0,112,0,0,3.264e-05,40.4055
0,113,0,0,3.0432e-05,40.4048
0,114,0,0,5.7984e-05,40.4053
0,115,0,0,4.8192e-05,40.4039
0,116,0,0,4.7064e-05,40.4021
0,117,0,0,5.3568e-05,40.3997
0,118,0,0,3.8112e-05,40.3966
0,119,0,0,2.7888e-05,40.3942
0,120,0,0,2.8224e-05,40.393
0,121,0,0,5.7984e-05,40.3922
0,122,0,0,2.0592e-05,40.3886
0,123,0,0,1.9968e-05,40.3869
0,124,0,0,4.3104e-05,40.3869
0,125,0,0,4.0896e-05,40.3857
0,126,0,0,3.6384e-05,40.3838
0,127,0,0,4.9008e-05,40.3816
0,0,1,0,0.000110908,52.8354
0,1,1,0,2.6304e-05,51.4593
0,2,1,0,4.2768e-05,50.1155
0,3,1,0,1.9008e-05,48.9715
0,4,1,0,5.1648e-05,48.01
0,5,1,0,4.6272e-05,47.1926
0,6,1,0,1.9008e-05,46.4913
0,7,1,0,2.9184e-05,45.8865
0,8,1,0,2.6304e-05,45.3598
0,9,1,0,2.5344e-05,44.8984
0,10,1,0,1.9008e-05,44.4907
0,11,1,0,1.2672e-05,44.1295
0,12,1,0,3.4464e-05,43.8095
0,13,1,0,5.1312e-05,43.5231
0,14,1,0,1.9008e-05,43.2644
0,15,1,0,5.3568e-05,43.0331
0,16,1,0,2.6304e-05,42.822
0,17,1,0,2.0928e-05,42.6308
0,18,1,0,4.5312e-05,42.4579
0,19,1,0,1.9968e-05,42.2984
0,20,1,0,1.9008e-05,42.1529
0,21,1,0,2.6304e-05,42.0211
0,22,1,0,1.2672e-05,41.9005
0,23,1,0,2.8224e-05,41.7908
0,24,1,0,5.1648e-05,41.6901
0,25,1,0,2.5344e-05,41.5961
0,26,1,0,5.34e-05,41.5111
0,27,1,0,3.4944e-05,41.4308
0,28,1,0,1.4784e-05,41.3563
0,29,1,0,2.7264e-05,41.2888
0,30,1,0,2.6304e-05,41.2264
0,31,1,0,1.9968e-05,41.1693
0,32,1,0,2.976e-05,41.1169
0,33,1,0,4.8192e-05,41.0685
0,34,1,0,4.5408e-05,41.023
0,35,1,0,3.0432e-05,40.9799
0,36,1,0,2.7264e-05,40.9408
0,37,1,0,4.2072e-05,40.9055
0,38,1,0,4.5312e-05,40.8727
0,39,1,0,5.7312e-05,40.8419
0,40,1,0,2.5512e-05,40.8112
0,41,1,0,1.3632e-05,40.7833
0,42,1,0,5.5488e-05,40.7596
0,43,1,0,1.2672e-05,40.7349
0,44,1,0,4.6272e-05,40.7147
0,45,1,0,5.2608e-05,40.6951
0,46,1,0,3.4224e-05,40.676
0,47,1,0,6.9408e-05,40.6593
0,48,1,0,3.456e-05,40.6405
0,49,1,0,1.2672e-05,40.6233
