rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0714351,57.8689
0,1,0,0,5.00325e-05,54.0733
0,2,0,0,2.628e-05,51.9248
0,3,0,0,6.105e-05,50.4
0,4,0,0,4.16175e-05,49.2025
0,5,0,0,4.038e-05,48.2237
0,6,0,0,6.57e-05,47.4068
0,7,0,0,9.7335e-05,46.7132
0,8,0,0,5.3115e-05,46.1129
0,9,0,0,5.14725e-05,45.5908
0,10,0,0,5.70975e-05,45.1347
0,11,0,0,3.012e-05,44.7326
0,12,0,0,9.966e-05,44.3794
0,13,0,0,1.95075e-05,44.0604
0,14,0,0,4.326e-05,43.7788
0,15,0,0,3.3405e-05,43.5255
0,16,0,0,7.02225e-05,43.2988
0,17,0,0,4.326e-05,43.0929
0,18,0,0,8.379e-05,42.9089
0,19,0,0,7.338e-05,42.7397
0,20,0,0,5.76375e-05,42.5853
0,21,0,0,5.256e-05,42.4437
0,22,0,0,5.751e-05,42.3155
0,23,0,0,9.966e-05,42.2002
0,24,0,0,6.954e-05,42.092
0,25,0,0,6.024e-05,41.9936
0,26,0,0,6.024e-05,41.9037
0,27,0,0,5.19525e-05,41.8214
0,28,0,0,5.00325e-05,41.7464
0,29,0,0,6.024e-05,41.6781
0,30,0,0,3.477e-05,41.6162
0,31,0,0,8.6115e-05,41.5612
0,32,0,0,8.10375e-05,41.5081
0,33,0,0,7.49475e-05,41.459
0,34,0,0,5.5845e-05,41.4133
0,35,0,0,7.722e-05,41.3729
0,36,0,0,5.9685e-05,41.3354
0,37,0,0,7.626e-05,41.3025
0,38,0,0,1.6425e-05,41.27
0,39,0,0,7.7625e-05,41.244
0,40,0,0,4.326e-05,41.2168
0,41,0,0,1.90275e-05,41.1937
0,42,0,0,4.73025e-05,41.1765
0,43,0,0,9.03e-05,41.1615
0,44,0,0,5.736e-05,41.1436
0,45,0,0,3.18375e-05,41.1274
0,46,0,0,3.942e-05,41.1145
0,47,0,0,8.268e-05,41.1036
0,48,0,0,2.84025e-05,41.0886
0,49,0,0,1.314e-05,41.0742
0,50,0,0,6.57e-05,41.0614
0,51,0,0,2.628e-05,41.0451
0,52,0,0,0.000112747,41.031
0,53,0,0,4.2855e-05,41.0105
0,54,0,0,6.954e-05,40.992
0,55,0,0,4.9275e-05,40.9726
0,56,0,0,8.379e-05,40.9552
0,57,0,0,2.9565e-05,40.9347
0,58,0,0,5.80425e-05,40.9184
0,59,0,0,5.5995e-05,40.9022
0,60,0,0,5.57175e-05,40.8879
0,61,0,0,8.5965e-05,40.8763
0,62,0,0,9.14475e-05,40.8638
0,63,0,0,5.42025e-05,40.8488
0,64,0,0,5.79206e-05,40.8361
0,65,0,0,5.5605e-05,40.8229
0,66,0,0,0.000107872,40.8102
0,67,0,0,2.0265e-05,40.793
0,68,0,0,3.012e-05,40.7797
0,69,0,0,4.71e-05,40.7686
0,70,0,0,0.000120885,40.7608
0,71,0,0,3.6135e-05,40.7472
0,72,0,0,5.328e-05,40.7373
0,73,0,0,8.9805e-05,40.7293
0,74,0,0,3.942e-05,40.7194
0,75,0,0,9.41775e-05,40.7129
0,76,0,0,3.012e-05,40.7026
0,77,0,0,0,40.695
0,78,0,0,3.942e-05,40.6922
0,79,0,0,4.71e-05,40.6905
0,80,0,0,3.83325e-05,40.6882
0,81,0,0,5.85225e-05,40.6859
0,82,0,0,1.90275e-05,40.6814
0,83,0,0,7.803e-05,40.6789
0,84,0,0,4.20225e-05,40.6736
0,85,0,0,3.69675e-05,40.6706
0,86,0,0,8.268e-05,40.6696
0,87,0,0,9.036e-05,40.6668
0,88,0,0,5.70825e-05,40.6621
0,89,0,0,4.53825e-05,40.6594
0,90,0,0,6.024e-05,40.6578
0,91,0,0,1.698e-05,40.6556
0,92,0,0,9.309e-05,40.6562
0,93,0,0,0,40.6521
0,94,0,0,8.6115e-05,40.6527
0,95,0,0,3.012e-05,40.6497
0,96,0,0,8.268e-05,40.6507
0,97,0,0,7.11825e-05,40.651
0,98,0,0,3.285e-05,40.6508
0,99,0,0,0.000126015,40.6545
0,100,0,0,4.45725e-05,40.6506
0,101,0,0,4.71e-05,40.6494
0,102,0,0,0.00011664,40.6511
0,103,0,0,8.1465e-05,40.6478
0,104,0,0,1.698e-05,40.6419
0,105,0,0,1.7385e-05,40.6402
0,106,0,0,3.012e-05,40.6401
0,107,0,0,4.245e-05,40.6414
0,108,0,0,5.47575e-05,40.6437
0,109,0,0,3.942e-05,40.6465
0,110,0,0,9.41025e-05,40.65
0,111,0,0,8.10375e-05,40.648
0,112,0,0,3.942e-05,40.644
0,113,0,0,4.15425e-05,40.6411
0,114,0,0,5.913e-05,40.6389
0,115,0,0,4.326e-05,40.635
0,116,0,0,0,40.6323
0,117,0,0,8.3565e-05,40.6351
0,118,0,0,4.326e-05,40.6341
0,119,0,0,5.09175e-05,40.6344
0,120,0,0,0.000121237,40.6356
0,121,0,0,1.314e-05,40.6298
0,122,0,0,3.942e-05,40.628
0,123,0,0,6.27675e-05,40.6273
0,124,0,0,7.16625e-05,40.6253
0,125,0,0,6.18075e-05,40.6202
0,126,0,0,5.2155e-05,40.6135
0,127,0,0,4.11375e-05,40.6068
0,0,1,0,0.000107826,54.0675
0,1,1,0,7.04475e-05,52.5773
0,2,1,0,4.21725e-05,51.1208
0,3,1,0,0.00010269,49.8859
0,4,1,0,5.80425e-05,48.8442
0,5,1,0,4.12125e-05,47.962
0,6,1,0,5.6475e-05,47.2095
0,7,1,0,8.72025e-05,46.562
0,8,1,0,0.000126217,45.997
0,9,1,0,4.10625e-05,45.496
0,10,1,0,5.37975e-05,45.0576
0,11,1,0,3.4365e-05,44.6697
0,12,1,0,5.74875e-05,44.3251
0,13,1,0,5.38725e-05,44.0166
0,14,1,0,9.66e-05,43.7431
0,15,1,0,6.954e-05,43.4946
0,16,1,0,2.55975e-05,43.2692
0,17,1,0,3.92925e-05,43.0674
0,18,1,0,4.2705e-05,42.8855
0,19,1,0,4.326e-05,42.7186
0,20,1,0,0.000120885,42.569
0,21,1,0,6.07725e-05,42.4269
0,22,1,0,5.28375e-05,42.2989
0,23,1,0,7.2975e-05,42.1837
0,24,1,0,4.6545e-05,42.077
0,25,1,0,7.9395e-05,41.9814
0,26,1,0,6.6255e-05,41.8925
0,27,1,0,8.16675e-05,41.8119
0,28,1,0,9.72825e-05,41.7377
0,29,1,0,1.314e-05,41.6678
0,30,1,0,0.00010815,41.6097
0,31,1,0,8.58375e-05,41.5527
0,32,1,0,4.10625e-05,41.4981
0,33,1,0,7.22175e-05,41.45
0,34,1,0,5.09175e-05,41.4046
0,35,1,0,5.256e-05,41.3637
0,36,1,0,3.36075e-05,41.3269
0,37,1,0,8.364e-05,41.2961
0,38,1,0,7.83075e-05,41.266
0,39,1,0,0.00011295,41.2385
0,40,1,0,5.14725e-05,41.21
0,41,1,0,6.74925e-05,41.1882
0,42,1,0,0.00010383,41.1713
0,43,1,0,0.000128437,41.1554
0,44,1,0,5.928e-05,41.1367
0,45,1,0,5.25075e-05,41.1216
0,46,1,0,5.094e-05,41.1089
0,47,1,0,4.983e-05,41.0978
0,48,1,0,7.12575e-05,41.0856
0,49,1,0,9.03375e-05,41.0721
0,50,1,0,6.18075e-05,41.0571
0,51,1,0,7.3935e-05,41.0408
0,52,1,0,6.79725e-05,41.0235
0,53,1,0,7.7625e-05,41.0046
0,54,1,0,6.31725e-05,40.9853
0,55,1,0,4.599e-05,40.9661
0,56,1,0,8.70525e-05,40.9494
0,57,1,0,3.6135e-05,40.9292
0,58,1,0,8.48775e-05,40.913
0,59,1,0,5.24325e-05,40.8953
0,60,1,0,5.43525e-05,40.8807
0,61,1,0,6.79725e-05,40.869
0,62,1,0,9.582e-05,40.858
0,63,1,0,1.57425e-05,40.8434
0,64,1,0,8.80406e-05,40.8334
0,65,1,0,9.56925e-05,40.8198
0,66,1,0,2.2995e-05,40.8042
0,67,1,0,5.5845e-05,40.7905
0,68,1,0,9.1725e-05,40.777
0,69,1,0,1.698e-05,40.7623
0,70,1,0,7.6815e-05,40.7539
0,71,1,0,4.695e-05,40.7423
0,72,1,0,4.134e-05,40.7315
0,73,1,0,4.9275e-05,40.7224
0,74,1,0,3.942e-05,40.7142
0,75,1,0,5.3115e-05,40.7074
0,76,1,0,3.50475e-05,40.6993
0,77,1,0,3.4365e-05,40.6932
0,78,1,0,1.698e-05,40.689
0,79,1,0,7.338e-05,40.6888
0,80,1,0,0.000107872,40.6879
0,81,1,0,0.000105772,40.685
0,82,1,0,0.000126217,40.6816
0,83,1,0,7.419e-05,40.6752
0,84,1,0,4.44975e-05,40.6692
0,85,1,0,8.715e-05,40.6675
0,86,1,0,7.8735e-05,40.664
0,87,1,0,5.64e-05,40.66
0,88,1,0,2.3955e-05,40.6556
0,89,1,0,7.7145e-05,40.6556
0,90,1,0,4.16175e-05,40.6537
0,91,1,0,0.000114997,40.6547
0,92,1,0,4.76325e-05,40.652
0,93,1,0,0.00011745,40.652
0,94,1,0,4.88175e-05,40.6481
0,95,1,0,3.012e-05,40.6448
0,96,1,0,1.698e-05,40.6432
0,97,1,0,5.85975e-05,40.645
0,98,1,0,5.8725e-05,40.6465
0,99,1,0,9.534e-05,40.6493
0,100,1,0,4.96275e-05,40.646
0,101,1,0,4.326e-05,40.6436
0,102,1,0,7.995e-05,40.6445
0,103,1,0,0.000101782,40.6436
0,104,1,0,2.79225e-05,40.6388
0,105,1,0,9.2685e-05,40.6398
0,106,1,0,3.942e-05,40.6379
0,107,1,0,3.861e-05,40.638
0,108,1,0,1.6425e-06,40.6394
0,109,1,0,8.556e-05,40.6455
0,110,1,0,0.000106837,40.6481
0,111,1,0,2.79225e-05,40.6439
0,112,1,0,7.44675e-05,40.6421
0,113,1,0,5.5995e-05,40.639
0,114,1,0,9.48075e-05,40.6366
0,115,1,0,2.628e-05,40.631
0,116,1,0,6.46125e-05,40.6304
0,117,1,0,7.7955e-05,40.6312
0,118,1,0,8.02275e-05,40.631
0,119,1,0,9.27375e-05,40.6311
0,120,1,0,8.3235e-05,40.6303
0,121,1,0,9.1725e-05,40.6285
0,122,1,0,4.81875e-05,40.6256
0,123,1,0,4.34625e-05,40.6246
0,124,1,0,8.3865e-05,40.6237
0,125,1,0,7.18125e-05,40.6178
0,126,1,0,4.854e-05,40.6101
0,127,1,0,6.23625e-05,40.6032
0,0,2,0,5.07431e-05,51.9038
0,1,2,0,3.21675e-05,51.106
0,2,2,0,7.02225e-05,50.147
0,3,2,0,4.0935e-05,49.2119
0,4,2,0,6.57225e-05,48.3602
0,5,2,0,7.338e-05,47.6017
0,6,2,0,2.0745e-05,46.9309
0,7,2,0,6.84525e-05,46.3435
0,8,2,0,0.000108225,45.8225
0,9,2,0,6.84525e-05,45.3554
0,10,2,0,6.4485e-05,44.9423
0,11,2,0,0.000157852,44.5769
0,12,2,0,3.156e-05,44.2425
0,13,2,0,2.628e-05,43.9451
0,14,2,0,6.33975e-05,43.6811
0,15,2,0,9.693e-05,43.4426
0,16,2,0,8.652e-05,43.2245
0,17,2,0,6.5295e-05,43.0272
0,18,2,0,0.000159345,42.8509
0,19,2,0,4.71e-05,42.6833
0,20,2,0,0.00010014,42.5352
0,21,2,0,3.88875e-05,42.3949
0,22,2,0,5.01075e-05,42.2693
0,23,2,0,4.7505e-05,42.155
0,24,2,0,4.9275e-05,42.0511
0,25,2,0,6.7365e-05,41.9567
0,26,2,0,4.6545e-05,41.8692
0,27,2,0,4.326e-05,41.789
0,28,2,0,2.94375e-05,41.7153
0,29,2,0,5.544e-05,41.6496
0,30,2,0,7.59825e-05,41.5903
0,31,2,0,5.28375e-05,41.5335
0,32,2,0,5.30625e-05,41.4804
0,33,2,0,4.2855e-05,41.4319
0,34,2,0,5.47575e-05,41.3882
0,35,2,0,2.211e-05,41.3465
0,36,2,0,4.90725e-05,41.3115
0,37,2,0,6.46125e-05,41.2797
0,38,2,0,9.693e-05,41.2507
0,39,2,0,3.3405e-05,41.2197
0,40,2,0,3.12075e-05,41.1921
0,41,2,0,5.64e-05,41.1702
0,42,2,0,4.16175e-05,41.1514
0,43,2,0,1.85475e-05,41.1341
0,44,2,0,3.77775e-05,41.1191
0,45,2,0,8.76075e-05,41.1069
0,46,2,0,6.312e-05,41.0949
0,47,2,0,0.000134152,41.086
0,48,2,0,8.21475e-05,41.0724
0,49,2,0,4.87425e-05,41.0568
0,50,2,0,0.000107392,41.044
0,51,2,0,3.3405e-05,41.0253
0,52,2,0,5.7525e-05,41.0073
0,53,2,0,3.285e-05,40.9878
0,54,2,0,6.441e-05,40.9699
0,55,2,0,6.297e-05,40.9518
0,56,2,0,0.000104385,40.9354
0,57,2,0,7.16625e-05,40.9162
0,58,2,0,6.07725e-05,40.898
0,59,2,0,3.44925e-05,40.8797
0,60,2,0,2.79225e-05,40.8644
0,61,2,0,4.53825e-05,40.8529
0,62,2,0,7.0095e-05,40.8432
0,63,2,0,0.000111472,40.8339
0,64,2,0,0.000109671,40.823
0,65,2,0,1.43775e-05,40.8062
0,66,2,0,0.000110955,40.7956
0,67,2,0,0.000119115,40.7818
0,68,2,0,2.4915e-05,40.7637
0,69,2,0,2.628e-05,40.75
0,70,2,0,6.024e-05,40.7408
0,71,2,0,9.67275e-05,40.7318
0,72,2,0,5.832e-05,40.7202
0,73,2,0,4.9275e-06,40.7095
0,74,2,0,7.995e-05,40.7043
0,75,2,0,6.13275e-05,40.6973
0,76,2,0,5.61225e-05,40.691
0,77,2,0,9.1575e-05,40.6867
0,78,2,0,8.652e-05,40.682
0,79,2,0,8.571e-05,40.6785
0,80,2,0,6.6255e-05,40.6748
0,81,2,0,4.149e-05,40.6702
0,82,2,0,5.7915e-05,40.6669
0,83,2,0,5.094e-05,40.6617
0,84,2,0,1.7385e-05,40.6562
0,85,2,0,8.67225e-05,40.6546
0,86,2,0,1.9305e-05,40.6489
0,87,2,0,5.20275e-05,40.647
0,88,2,0,2.79225e-05,40.6434
0,89,2,0,7.899e-05,40.6441
0,90,2,0,6.18825e-05,40.6426
0,91,2,0,4.2705e-05,40.6415
0,92,2,0,2.46375e-05,40.6402
0,93,2,0,3.861e-05,40.639
0,94,2,0,4.65075e-05,40.6377
0,95,2,0,6.46125e-05,40.636
0,96,2,0,0,40.632
0,97,2,0,2.9565e-05,40.6327
0,98,2,0,2.8275e-05,40.6341
0,99,2,0,8.652e-05,40.6372
0,100,2,0,7.44675e-05,40.6349
0,101,2,0,2.84775e-05,40.6304
0,102,2,0,3.285e-05,40.6292
0,103,2,0,5.00325e-05,40.6292
0,104,2,0,4.16175e-05,40.6281
0,105,2,0,8.35875e-05,40.6299
0,106,2,0,7.50975e-05,40.6299
0,107,2,0,4.887e-05,40.6298
0,108,2,0,8.652e-05,40.6328
0,109,2,0,0.0001083,40.6368
0,110,2,0,8.028e-05,40.6382
0,111,2,0,0.0001035,40.6358
0,112,2,0,6.13275e-05,40.6318
0,113,2,0,0.00010767,40.63
0,114,2,0,4.7505e-05,40.6245
0,115,2,0,3.0525e-05,40.6204
0,116,2,0,5.079e-05,40.6192
0,117,2,0,6.08475e-05,40.6184
0,118,2,0,4.02525e-05,40.6172
0,119,2,0,3.1005e-05,40.6161
0,120,2,0,1.458e-05,40.6153
0,121,2,0,3.8055e-05,40.6159
0,122,2,0,5.14725e-05,40.6161
0,123,2,0,8.35875e-05,40.6173
0,124,2,0,0.00014019,40.6162
0,125,2,0,8.268e-05,40.6083
0,126,2,0,6.249e-05,40.6005
0,127,2,0,4.92225e-05,40.5927
0,0,3,0,4.86206e-05,50.3582
0,1,3,0,5.05125e-05,49.849
0,2,3,0,1.0815e-05,49.1896
0,3,3,0,0.000101175,48.4937
0,4,3,0,5.09175e-05,47.8123
0,5,3,0,4.53075e-05,47.1771
0,6,3,0,3.6135e-05,46.597
0,7,3,0,9.645e-05,46.0755
0,8,3,0,7.55025e-05,45.6015
0,9,3,0,2.307e-05,45.1722
0,10,3,0,4.326e-05,44.7892
0,11,3,0,6.78975e-05,44.4459
0,12,3,0,0.000106433,44.1349
0,13,3,0,5.9685e-05,43.8515
