vault_id,bank_id,start_x,end_x,start_y,end_y,z
6,9,0,127,52,55,2
6,10,128,255,48,51,2
6,11,128,255,52,55,2
6,12,0,127,48,51,3
6,13,0,127,52,55,3
6,14,128,255,48,51,3
6,15,128,255,52,55,3
7,0,0,127,56,59,0
7,1,0,127,60,63,0
7,2,128,255,56,59,0
7,3,128,255,60,63,0
7,4,0,127,56,59,1
7,5,0,127,60,63,1
7,6,128,255,56,59,1
7,7,128,255,60,63,1
7,8,0,127,56,59,2
7,9,0,127,60,63,2
7,10,128,255,56,59,2
7,11,128,255,60,63,2
7,12,0,127,56,59,3
7,13,0,127,60,63,3
7,14,128,255,56,59,3
7,15,128,255,60,63,3
8,0,0,127,64,67,0
8,1,0,127,68,71,0
8,2,128,255,64,67,0
8,3,128,255,68,71,0
8,4,0,127,64,67,1
8,5,0,127,68,71,1
8,6,128,255,64,67,1
8,7,128,255,68,71,1
8,8,0,127,64,67,2
8,9,0,127,68,71,2
8,10,128,255,64,67,2
8,11,128,255,68,71,2
8,12,0,127,64,67,3
8,13,0,127,68,71,3
8,14,128,255,64,67,3
8,15,128,255,68,71,3
9,0,0,127,72,75,0
9,1,0,127,76,79,0
9,2,128,255,72,75,0
9,3,128,255,76,79,0
9,4,0,127,72,75,1
9,5,0,127,76,79,1
9,6,128,255,72,75,1
9,7,128,255,76,79,1
9,8,0,127,72,75,2
9,9,0,127,76,79,2
9,10,128,255,72,75,2
9,11,128,255,76,79,2
9,12,0,127,72,75,3
9,13,0,127,76,79,3
9,14,128,255,72,75,3
9,15,128,255,76,79,3
10,0,0,127,80,83,0
10,1,0,127,84,87,0
10,2,128,255,80,83,0
10,3,128,255,84,87,0
10,4,0,127,80,83,1
10,5,0,127,84,87,1
10,6,128,255,80,83,1
10,7,128,255,84,87,1
10,8,0,127,80,83,2
10,9,0,127,84,87,2
10,10,128,255,80,83,2
10,11,128,255,84,87,2
10,12,0,127,80,83,3
10,13,0,127,84,87,3
10,14,128,255,80,83,3
10,15,128,255,84,87,3
11,0,0,127,88,91,0
11,1,0,127,92,95,0
11,2,128,255,88,91,0
11,3,128,255,92,95,0
11,4,0,127,88,91,1
11,5,0,127,92,95,1
11,6,128,255,88,91,1
11,7,128,255,92,95,1
11,8,0,127,88,91,2
11,9,0,127,92,95,2
11,10,128,255,88,91,2
11,11,128,255,92,95,2
11,12,0,127,88,91,3
11,13,0,127,92,95,3
11,14,128,255,88,91,3
11,15,128,255,92,95,3
12,0,0,127,96,99,0
12,1,0,127,100,103,0
12,2,128,255,96,99,0
12,3,128,255,100,103,0
12,4,0,127,96,99,1
12,5,0,127,100,103,1
12,6,128,255,96,99,1
12,7,128,255,100,103,1
12,8,0,127,96,99,2
12,9,0,127,100,103,2
12,10,128,255,96,99,2
12,11,128,255,100,103,2
12,12,0,127,96,99,3
12,13,0,127,100,103,3
12,14,128,255,96,99,3
12,15,128,255,100,103,3
13,0,0,127,104,107,0
13,1,0,127,108,111,0
13,2,128,255,104,107,0
13,3,128,255,108,111,0
13,4,0,127,104,107,1
13,5,0,127,108,111,1
13,6,128,255,104,107,1
13,7,128,255,108,111,1
13,8,0,127,104,107,2
13,9,0,127,108,111,2
13,10,128,255,104,107,2
13,11,128,255,108,111,2
13,12,0,127,104,107,3
13,13,0,127,108,111,3
13,14,128,255,104,107,3
13,15,128,255,108,111,3
14,0,0,127,112,115,0
14,1,0,127,116,119,0
14,2,128,255,112,115,0
14,3,128,255,116,119,0
14,4,0,127,112,115,1
14,5,0,127,116,119,1
14,6,128,255,112,115,1
14,7,128,255,116,119,1
14,8,0,127,112,115,2
14,9,0,127,116,119,2
14,10,128,255,112,115,2
14,11,128,255,116,119,2
14,12,0,127,112,115,3
14,13,0,127,116,119,3
14,14,128,255,112,115,3
14,15,128,255,116,119,3
15,0,0,127,120,123,0
15,1,0,127,124,127,0
15,2,128,255,120,123,0
15,3,128,255,124,127,0
15,4,0,127,120,123,1
15,5,0,127,124,127,1
15,6,128,255,120,123,1
15,7,128,255,124,127,1
15,8,0,127,120,123,2
15,9,0,127,124,127,2
15,10,128,255,120,123,2
15,11,128,255,124,127,2
15,12,0,127,120,123,3
15,13,0,127,124,127,3
15,14,128,255,120,123,3
15,15,128,255,124,127,3
