rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0773793,59.0277
0,1,0,0,5.328e-05,54.9135
0,2,0,0,2.724e-05,52.5831
0,3,0,0,3.6405e-05,50.9269
0,4,0,0,6.51e-05,49.6277
0,5,0,0,2.484e-05,48.5621
0,6,0,0,8.0895e-05,47.6718
0,7,0,0,4.8105e-05,46.912
0,8,0,0,3.552e-05,46.2586
0,9,0,0,5.208e-05,45.6924
0,10,0,0,3.432e-05,45.1946
0,11,0,0,2.604e-05,44.7567
0,12,0,0,6.864e-05,44.3704
0,13,0,0,4.1565e-05,44.0241
0,14,0,0,5.001e-05,43.7152
0,15,0,0,2.604e-05,43.4371
0,16,0,0,3.312e-05,43.1877
0,17,0,0,5.1915e-05,42.9617
0,18,0,0,3.168e-05,42.7552
0,19,0,0,6.156e-05,42.5681
0,20,0,0,3.105e-06,42.3947
0,21,0,0,6.0375e-05,42.2401
0,22,0,0,3.876e-05,42.0962
0,23,0,0,4.38e-05,41.9641
0,24,0,0,2.604e-05,41.8423
0,25,0,0,3.552e-05,41.7319
0,26,0,0,4.824e-05,41.6311
0,27,0,0,5.175e-05,41.5375
0,28,0,0,5.088e-05,41.4503
0,29,0,0,3.7425e-05,41.3697
0,30,0,0,2.604e-05,41.2955
0,31,0,0,4.26e-05,41.2285
0,32,0,0,5.208e-05,41.1662
0,33,0,0,8.28e-06,41.1076
0,34,0,0,3.312e-05,41.0566
0,35,0,0,9.141e-05,41.0107
0,36,0,0,1.776e-05,40.9633
0,37,0,0,1.659e-05,40.9213
0,38,0,0,3.552e-05,40.8837
0,39,0,0,4.1445e-05,40.849
0,40,0,0,4.968e-05,40.8161
0,41,0,0,1.776e-05,40.7841
0,42,0,0,6.3135e-05,40.7571
0,43,0,0,3.432e-05,40.7295
0,44,0,0,3.432e-05,40.7054
0,45,0,0,5.208e-05,40.6834
0,46,0,0,3.432e-05,40.662
0,47,0,0,8.4495e-05,40.6444
0,48,0,0,5.205e-05,40.625
0,49,0,0,2.484e-05,40.6073
0,50,0,0,5.088e-05,40.5938
0,51,0,0,6.396e-05,40.5814
0,52,0,0,6.156e-05,40.5689
0,53,0,0,8.0655e-05,40.5577
0,54,0,0,3.552e-05,40.5449
0,55,0,0,3.432e-05,40.5344
0,56,0,0,7.692e-05,40.5262
0,57,0,0,4.881e-05,40.5154
0,58,0,0,4.26e-05,40.5047
0,59,0,0,1.776e-05,40.495
0,60,0,0,1.8795e-05,40.4883
0,61,0,0,6.036e-05,40.4838
0,62,0,0,8.5875e-05,40.4788
0,63,0,0,4.26e-05,40.4718
0,64,0,0,9.36122e-05,40.4667
0,65,0,0,5.088e-05,40.4569
0,66,0,0,4.9845e-05,40.4481
0,67,0,0,1.863e-05,40.4387
0,68,0,0,4.14e-05,40.4329
0,69,0,0,8.0325e-05,40.4277
0,70,0,0,2.484e-05,40.4196
0,71,0,0,2.844e-05,40.4145
0,72,0,0,6.2595e-05,40.4116
0,73,0,0,3.639e-05,40.4071
0,74,0,0,2.484e-05,40.4031
0,75,0,0,3.5505e-05,40.4008
0,76,0,0,8.7405e-05,40.4001
0,77,0,0,7.932e-05,40.3969
0,78,0,0,5.328e-05,40.3926
0,79,0,0,0.00010329,40.3902
0,80,0,0,3.4305e-05,40.3831
0,81,0,0,3.3135e-05,40.3781
0,82,0,0,4.347e-05,40.3744
0,83,0,0,4.674e-05,40.3705
0,84,0,0,4.38e-05,40.3662
0,85,0,0,8.28e-06,40.3622
0,86,0,0,3.312e-05,40.3616
0,87,0,0,3.9825e-05,40.3624
0,88,0,0,7.458e-05,40.3632
0,89,0,0,5.412e-05,40.3605
0,90,0,0,7.101e-05,40.3587
0,91,0,0,3.432e-05,40.3547
0,92,0,0,5.088e-05,40.3515
0,93,0,0,3.879e-05,40.3476
0,94,0,0,5.3685e-05,40.3449
0,95,0,0,1.656e-05,40.3416
0,96,0,0,3.552e-05,40.3407
0,97,0,0,6.99e-05,40.3413
0,98,0,0,5.3265e-05,40.3396
0,99,0,0,3.552e-05,40.3374
0,100,0,0,4.587e-05,40.3366
0,101,0,0,3.315e-05,40.3356
0,102,0,0,4.5e-05,40.3353
0,103,0,0,4.2765e-05,40.3345
0,104,0,0,4.38e-05,40.3332
0,105,0,0,2.604e-05,40.3325
0,106,0,0,5.034e-05,40.3343
0,107,0,0,4.347e-05,40.3348
0,108,0,0,6.156e-05,40.3351
0,109,0,0,2.484e-05,40.3333
0,110,0,0,6.036e-05,40.3335
0,111,0,0,4.971e-05,40.3313
0,112,0,0,5.208e-05,40.3278
0,113,0,0,9.48e-06,40.3229
0,114,0,0,4.584e-05,40.3216
0,115,0,0,3.432e-05,40.3192
0,116,0,0,7.572e-05,40.3183
0,117,0,0,3.4485e-05,40.3141
0,118,0,0,2.0115e-05,40.3111
0,119,0,0,2.7075e-05,40.3097
0,120,0,0,4.26e-05,40.3091
0,121,0,0,2.484e-05,40.3065
0,122,0,0,2.604e-05,40.3043
0,123,0,0,3.522e-05,40.3033
0,124,0,0,3.018e-05,40.3024
0,125,0,0,5.088e-05,40.3014
0,126,0,0,3.432e-05,40.2975
0,127,0,0,9.48e-06,40.293
0,0,1,0,4.39322e-05,54.9084
