vault_id,bank_id,start_x,end_x,start_y,end_y,z
12,6,0,127,96,99,3
12,7,0,127,100,103,3
12,8,0,127,96,99,4
12,9,0,127,100,103,4
12,10,0,127,96,99,5
12,11,0,127,100,103,5
12,12,0,127,96,99,6
12,13,0,127,100,103,6
12,14,0,127,96,99,7
12,15,0,127,100,103,7
13,0,0,127,104,107,0
13,1,0,127,108,111,0
13,2,0,127,104,107,1
13,3,0,127,108,111,1
13,4,0,127,104,107,2
13,5,0,127,108,111,2
13,6,0,127,104,107,3
13,7,0,127,108,111,3
13,8,0,127,104,107,4
13,9,0,127,108,111,4
13,10,0,127,104,107,5
13,11,0,127,108,111,5
13,12,0,127,104,107,6
13,13,0,127,108,111,6
13,14,0,127,104,107,7
13,15,0,127,108,111,7
14,0,0,127,112,115,0
14,1,0,127,116,119,0
14,2,0,127,112,115,1
14,3,0,127,116,119,1
14,4,0,127,112,115,2
14,5,0,127,116,119,2
14,6,0,127,112,115,3
14,7,0,127,116,119,3
14,8,0,127,112,115,4
14,9,0,127,116,119,4
14,10,0,127,112,115,5
14,11,0,127,116,119,5
14,12,0,127,112,115,6
14,13,0,127,116,119,6
14,14,0,127,112,115,7
14,15,0,127,116,119,7
15,0,0,127,120,123,0
15,1,0,127,124,127,0
15,2,0,127,120,123,1
15,3,0,127,124,127,1
15,4,0,127,120,123,2
15,5,0,127,124,127,2
15,6,0,127,120,123,3
15,7,0,127,124,127,3
15,8,0,127,120,123,4
15,9,0,127,124,127,4
15,10,0,127,120,123,5
15,11,0,127,124,127,5
15,12,0,127,120,123,6
15,13,0,127,124,127,6
15,14,0,127,120,123,7
15,15,0,127,124,127,7
16,0,128,255,0,3,0
16,1,128,255,4,7,0
16,2,128,255,0,3,1
16,3,128,255,4,7,1
16,4,128,255,0,3,2
16,5,128,255,4,7,2
16,6,128,255,0,3,3
16,7,128,255,4,7,3
16,8,128,255,0,3,4
16,9,128,255,4,7,4
16,10,128,255,0,3,5
16,11,128,255,4,7,5
16,12,128,255,0,3,6
16,13,128,255,4,7,6
16,14,128,255,0,3,7
16,15,128,255,4,7,7
17,0,128,255,8,11,0
17,1,128,255,12,15,0
17,2,128,255,8,11,1
17,3,128,255,12,15,1
17,4,128,255,8,11,2
17,5,128,255,12,15,2
17,6,128,255,8,11,3
17,7,128,255,12,15,3
17,8,128,255,8,11,4
